Date,Open,High,Low,Close,Volume
2015-06-01,194.23,194.64,193.09,193.94,1157378
2015-06-02,193.43,194.5,192.75,193.74,1094354
2015-06-03,194.31,194.93,193.74,194.27,1213846
2015-06-04,193.52,194.13,192.28,192.69,1383350
2015-06-05,192.48,193.02,191.58,192.3,1567766
2015-06-08,192.17,192.32,191.02,191.11,1130127
2015-06-09,191.1,191.65,190.37,191.06,1466057
2015-06-10,191.96,193.78,191.88,193.33,1247688
2015-06-11,193.95,194.37,193.63,193.93,724695
2015-06-12,193.01,193.22,192.21,192.51,2147740
2015-06-15,191.22,191.97,190.47,191.62,1392599
2015-06-16,191.5,192.81,191.34,192.74,819781
2015-06-17,193.06,193.69,191.95,193.07,1170581
2015-06-18,193.61,195.53,193.6,194.98,1041566
2015-06-19,194.8,194.85,193.85,193.85,691383
2015-06-22,194.37,194.92,194.05,194.27,1027028
2015-06-23,194.48,194.76,194,194.41,1727228
2015-06-24,194.18,194.52,192.99,193.02,2160601
2015-06-25,193.51,193.69,192.36,192.42,2287598
2015-06-26,192.82,193.07,191.8,192.42,1631894
2015-06-29,190.78,191.43,188.26,188.35,2746754
2015-06-30,190.18,190.18,188.24,188.84,2679412
2015-07-01,190.65,190.75,189.45,190.27,2782276
2015-07-02,190.85,191,189.68,190.13,3087103
2015-07-06,188.72,190.4,188.48,189.58,1741085
2015-07-07,189.86,190.9,187.19,190.75,3507468
2015-07-08,189.36,189.59,187.31,187.51,1874025
2015-07-09,189.9,190.13,187.83,187.85,2224904
2015-07-10,190.18,190.71,189.35,190.24,1648635
2015-07-13,191.59,192.48,191.58,192.37,1026106
2015-07-14,192.37,193.53,192.27,193.22,1128915
2015-07-15,193.29,193.73,192.62,193.14,1174758
2015-07-16,194.31,194.67,194.05,194.62,949541
2015-07-17,194.68,194.92,194.24,194.85,872081
2015-07-20,195.09,195.46,194.6,194.94,1103466
2015-07-21,194.82,195.05,193.86,194.17,772382
2015-07-22,193.38,194.16,193.38,193.79,1193784
2015-07-23,194,194.03,192.34,192.68,899270
2015-07-24,192.86,192.89,190.36,190.67,1589133
2015-07-27,189.78,190.32,189.15,189.59,1745618
2015-07-28,190.59,192.1,189.63,191.89,931309
2015-07-29,192.07,193.5,191.91,193.25,2471249
2015-07-30,192.77,193.48,192.02,193.28,924412
2015-07-31,193.92,193.92,192.71,192.95,1437242
2015-08-03,193,193.01,191.33,192.35,3081665
2015-08-04,192.35,192.76,191.46,191.97,1601667
2015-08-05,193.04,193.75,192.31,192.64,1369852
2015-08-06,192.77,192.93,190.39,191.17,1321232
2015-08-07,190.88,190.99,189.69,190.67,1854050
2015-08-10,191.9,193.15,191.9,193.09,1346730
2015-08-11,191.64,192.04,190.5,191.32,4996337
2015-08-12,189.88,191.76,188.3,191.49,3758708
2015-08-13,191.42,192.12,190.77,191.28,1155942
2015-08-14,191.12,192.08,190.98,192.02,742451
2015-08-17,191.42,193.09,190.86,193.09,1926335
2015-08-18,192.84,193.16,192.28,192.5,1023806
2015-08-19,191.78,192.55,190.12,190.98,1771931
2015-08-20,189.36,189.93,186.95,186.97,4195688
2015-08-21,185.08,186.03,181.04,181.04,6145933
2015-08-24,172,179.54,168.08,173.66,12324952
2015-08-25,179.16,179.8,171.37,171.55,8132237
2015-08-26,176.23,178.51,172.68,178.36,7086141
2015-08-27,180.8,182.8,178.94,182.72,7168812
2015-08-28,181.97,183.19,181.43,182.72,2944966
2015-08-31,181.68,182.54,180.6,181.11,1922950
2015-09-01,177.11,178.5,174.83,175.58,8531766
2015-09-02,178.48,179.13,176.4,179.12,2424009
2015-09-03,179.96,181.54,178.71,179.27,2420172
2015-09-04,176.88,177.69,175.64,176.49,2317653
2015-09-08,179.67,181.15,178.92,181.01,2248536
2015-09-09,182.8,182.85,178.17,178.57,2125549
2015-09-10,178.25,180.78,178.07,179.57,1774435
2015-09-11,179.09,180.42,178.33,180.32,2184960
2015-09-14,180.58,180.58,179.18,179.64,905324
2015-09-15,180.22,182.42,179.77,181.98,1641534
2015-09-16,182.34,183.72,181.91,183.57,2098874
2015-09-17,183.4,185.99,182.74,183.09,3106238
2015-09-18,180.41,182.04,179.69,180.13,3205186
2015-09-21,180.15,181.2,178.94,180.1,1467587
2015-09-22,177.8,178.25,176.54,177.75,2469477
2015-09-23,177.99,178.45,176.85,177.43,1670250
2015-09-24,176.05,177.31,174.69,176.88,2562353
2015-09-25,178.48,178.71,175.83,176.76,3436258
2015-09-28,175.86,175.87,172.02,172.31,3732895
2015-09-29,172.67,173.92,171.36,172.4,3219534
2015-09-30,174.56,175.84,173.67,175.71,4123583
2015-10-01,175.97,176.43,174,176.2,3948423
2015-10-02,174,178.75,173.35,178.75,2307155
2015-10-05,180.14,182.18,180,181.96,2049140
2015-10-06,181.88,182.41,180.59,181.35,1325351
2015-10-07,182.4,183.19,181.05,182.87,1693811
2015-10-08,182.44,184.78,182.08,184.48,3109551
2015-10-09,184.66,185.08,183.91,184.58,1651038
2015-10-12,184.68,184.93,184.18,184.8,885090
2015-10-13,183.98,185.31,183.39,183.57,1022349
2015-10-14,183.45,184.13,182.39,182.71,1184112
2015-10-15,183.4,185.49,183.02,185.45,2523136
2015-10-16,185.92,186.34,185.12,186.2,1241247
2015-10-19,185.66,186.43,185.31,186.42,768898
2015-10-20,186.02,186.87,185.7,186.18,1151189
2015-10-21,186.79,186.81,184.86,184.97,1556881
2015-10-22,186.02,188.38,185.97,188.17,1498293
2015-10-23,190,190.63,189.14,190.22,1624331
2015-10-26,190.11,190.12,189.39,189.77,1150453
2015-10-27,189.08,189.76,188.65,189.4,1442405
2015-10-28,189.84,191.6,189.06,191.6,2251897
2015-10-29,191.04,191.85,190.89,191.53,1779006
2015-10-30,191.82,192,190.56,190.56,2011559
2015-11-02,190.98,193.09,190.85,192.82,2403483
2015-11-03,192.54,194.06,192.28,193.43,3920353
2015-11-04,193.77,193.9,192.28,192.88,1786682
2015-11-05,192.99,193.44,191.71,192.64,2185114
2015-11-06,192.26,192.83,191.12,192.56,2172599
2015-11-09,191.86,192.01,189.75,190.76,2127809
2015-11-10,190.26,191.25,189.91,191.12,1257460
2015-11-11,191.48,191.55,190.39,190.39,1114737
2015-11-12,189.36,189.81,187.78,187.84,2454885
2015-11-13,187.35,187.62,185.58,185.67,3223960
2015-11-16,185.5,188.55,185.36,188.52,1687079
2015-11-17,188.86,189.79,187.83,188.29,1879921
2015-11-18,188.91,191.51,188.89,191.32,2858620
2015-11-19,191.3,191.68,190.9,191.22,2155036
2015-11-20,192.01,192.66,191.5,191.93,1317636
2015-11-23,191.89,192.54,191.2,191.71,1308110
2015-11-24,190.63,192.38,190.18,192.02,1571991
2015-11-25,192.15,192.31,191.67,191.96,758701
2015-11-27,192.08,192.38,191.5,192.15,894462
2015-11-30,192.45,192.47,191.24,191.37,1550956
2015-12-01,192.05,193.3,191.78,193.22,1812918
